c_target,ASR_A,detection_rate,RR,mean_concentration,mean_abs_target_error,signed_target_error
1.1,1.0,0.0,1.0,1.1036998439781998,0.01685698056887533,0.0036998439781996684
1.2,0.3725,0.63,1.0,1.2064641298565082,0.02203315255514019,0.006464129856508238
1.3,0.1025,0.9,1.0,1.268104593394102,0.040364497182351494,-0.03189540660589807
1.4,0.1025,0.9,1.0,1.325681732043917,0.081390120968011,-0.07431826795608298
1.5,0.1025,0.9,1.0,1.3602787570176198,0.14006516992300105,-0.1397212429823802
1.6,0.1025,0.9,1.0,1.3721802831231458,0.22788172648959082,-0.22781971687685432
1.7,0.1025,0.9,1.0,1.3815905887692614,0.3184094112307446,-0.3184094112307385
1.8,0.1025,0.9,1.0,1.3815905887692614,0.4184094112307429,-0.4184094112307386
1.9,0.1025,0.9,1.0,1.3815905887692614,0.5184094112307431,-0.5184094112307385
2.0,0.1025,0.9,1.0,1.3815905887692614,0.6184094112307459,-0.6184094112307386
2.2,0.1025,0.9,1.0,1.3815905887692614,0.8184094112307383,-0.8184094112307387
2.5,0.1025,0.9,1.0,1.3818757554294907,1.1181242445705122,-1.1181242445705093
2.8,0.1025,0.9,1.0,1.3818757554294907,1.4181242445705144,-1.4181242445705091
