c_target,ASR_A,detection_rate,RR,mean_concentration,mean_abs_target_error,signed_target_error
1.1,0.0025,1.0,1.0,1.1510744723292783,0.05107447232928046,0.0510744723292782
1.2,0.0025,1.0,1.0,1.1861046293242727,0.04821769783385669,-0.013895370675727214
1.3,0.0025,1.0,1.0,1.1861046293242727,0.11544717809916573,-0.1138953706757273
1.4,0.0025,1.0,1.0,1.1861046293242727,0.213895370675732,-0.21389537067572717
1.5,0.0025,1.0,1.0,1.1861046293242727,0.31389537067573103,-0.31389537067572726
1.6,0.0025,1.0,1.0,1.1861046293242727,0.4138953706757317,-0.41389537067572735
1.7,0.0025,1.0,1.0,1.1861046293242727,0.513895370675732,-0.5138953706757272
1.8,0.0025,1.0,1.0,1.1861046293242727,0.6138953706757285,-0.6138953706757273
1.9,0.0025,1.0,1.0,1.1861046293242727,0.7138953706757316,-0.7138953706757272
2.0,0.0025,1.0,1.0,1.1861046293242727,0.8138953706757311,-0.8138953706757273
2.2,0.0025,1.0,1.0,1.1861046293242727,1.0138953706757372,-1.0138953706757274
2.5,0.0025,1.0,1.0,1.1861046293242727,1.3138953706757277,-1.3138953706757273
2.8,0.0025,1.0,1.0,1.1861046293242727,1.6138953706757388,-1.613895370675727
