defense,ASR_A,ASR_R,RR,detection_rate,FPR
none,1.0,1.0,1.0,0.0,0.0
ppl,0.48,0.48,1.0,0.5225,0.23875
llm,0.995,0.995,1.0,0.005,0.0
cqrcd,0.00875,0.00875,1.0,0.99375,0.1
