method,auc,threshold,fnr_at_threshold,fpr_at_threshold,f1_at_threshold
cqrcd,0.9946875000000001,1.05,0.00625,0.1,0.9956167814652473
ppl,0.584625,67.98181130572887,0.7,0.0,0.4615384615384615
llm_smoke,,0.5,0.995,0.0,0.009950248756218907
