c_target,ASR_A,detection_rate,RR,mean_concentration,mean_abs_target_error,signed_target_error
1.1,0.845,0.155,1.0,1.1447505841807901,0.06648998927759259,0.04475058418079003
1.2,0.1125,0.89,1.0,1.2682887387235333,0.0739313971547388,0.06828873872353336
1.3,0.1025,0.9,1.0,1.3211599113716272,0.07815232459386054,0.021159911371627205
1.4,0.1025,0.9,1.0,1.359467565634064,0.1172887902038217,-0.0405324343659359
1.5,0.1025,0.9,1.0,1.379794623685888,0.16257718751293065,-0.12020537631411199
1.6,0.1025,0.9,1.0,1.3799790520894921,0.23780015600109286,-0.22002094791050797
1.7,0.1025,0.9,1.0,1.3799790520894921,0.3200209479105135,-0.32002094791050784
1.8,0.1025,0.9,1.0,1.3799790520894921,0.4200209479105116,-0.4200209479105079
1.9,0.1025,0.9,1.0,1.3799790520894921,0.5200209479105122,-0.5200209479105078
2.0,0.1025,0.9,1.0,1.3799790520894921,0.6200209479105148,-0.6200209479105079
2.2,0.1025,0.9,1.0,1.3799790520894921,0.8200209479105071,-0.8200209479105081
2.5,0.1025,0.9,1.0,1.3802328952498397,1.1197671047501634,-1.1197671047501603
2.8,0.1025,0.9,1.0,1.3802328952498397,1.419767104750166,-1.41976710475016
