group,count,mean,std,min,max,median
legitimate,20,1.1259751947437744,0.08997004411141554,0.9866051869362671,1.3258290727507083,1.114463802772522
blackbox,400,1.2923971970832553,0.09756265541312735,1.173440986089059,1.501293653374201,1.2889729196602722
whitebox,400,1.3255808546955006,0.12459229107305904,1.1291366273849786,1.6132888793477558,1.3119057917239232
